neighbourhood,beds,yearly_revenue,availability_365,city
Leopoldstadt,8.0,19856.666666666668,0.2365296803652967,Vienna
Leopoldstadt,10.0,4644.4,0.4312328767123288,Vienna
Leopoldstadt,12.0,18860.0,0.2246575342465753,Vienna
Leopoldstadt,16.0,8225.0,0.1589041095890411,Vienna
Liesing,1.0,19656.25,0.6810665362035225,Vienna
Liesing,2.0,16845.95,0.5958904109589042,Vienna
Liesing,3.0,17891.842105263157,0.5155010814708003,Vienna
Liesing,4.0,37355.0,0.663013698630137,Vienna
Liesing,5.0,29119.0,0.4342465753424657,Vienna
Liesing,6.0,34677.333333333336,0.9232876712328768,Vienna
Margareten,1.0,14009.810975609756,0.6720013364517207,Vienna
Margareten,2.0,15024.502183406114,0.5720045462702638,Vienna
Margareten,3.0,17954.846153846152,0.5015806111696522,Vienna
Margareten,4.0,28971.42857142857,0.703457273320287,Vienna
Margareten,5.0,33333.36842105263,0.6500360490266762,Vienna
Margareten,6.0,33445.055555555555,0.7987823439878234,Vienna
Margareten,7.0,48082.25,0.7328767123287672,Vienna
Margareten,8.0,31568.33333333333,0.5561643835616439,Vienna
Mariahilf,1.0,13853.003773584906,0.6303437580770225,Vienna
Mariahilf,2.0,18139.994011976047,0.5581658600607006,Vienna
Mariahilf,3.0,26347.032258064515,0.5536456031816174,Vienna
Mariahilf,4.0,32105.40740740741,0.5810248604769153,Vienna
Mariahilf,5.0,34617.22222222222,0.5312024353120244,Vienna
Mariahilf,6.0,22632.6,0.6038356164383561,Vienna
Mariahilf,9.0,25070.0,0.2986301369863013,Vienna
Mariahilf,11.0,28290.0,0.336986301369863,Vienna
Mariahilf,18.0,42780.0,0.5095890410958904,Vienna
Meidling,1.0,10637.458823529412,0.4872683319903304,Vienna
Meidling,2.0,14379.03829787234,0.506791023025357,Vienna
Meidling,3.0,15683.724137931034,0.4309400094473311,Vienna
Meidling,4.0,20795.666666666668,0.5211187214611872,Vienna
Meidling,5.0,22136.1,0.4838356164383561,Vienna
Meidling,6.0,27200.5,0.4808219178082192,Vienna
Meidling,7.0,33609.666666666664,0.6694063926940639,Vienna
Meidling,10.0,46920.0,0.5589041095890411,Vienna
Neubau,1.0,17342.101876675602,0.7379999265489001,Vienna
Neubau,2.0,22698.87610619469,0.6684931506849315,Vienna
Neubau,3.0,30762.75,0.7077625570776255,Vienna
Neubau,4.0,27725.29411764706,0.5497179693795327,Vienna
Neubau,5.0,44681.2,0.6306849315068492,Vienna
Neubau,6.0,20695.0,0.4264840182648401,Vienna
Neubau,7.0,57787.75,0.7404109589041096,Vienna
